date,close,CDL_ENGULFING,CDL_HAMMER,CDL_HANGINGMAN,CDL_DOJI,CDL_MORNINGSTAR,CDL_EVENINGSTAR,CDL_3WHITESOLDIERS,CDL_3BLACKCROWS,CDL_PIERCING,CDL_DARKCLOUD,EMA_5,EMA_30,EMA_100,macd,macd_signal,macd_diff,macd_z,macd_price_slope_diff,divergence_strength,rsi,bb_ma,bb_std,bb_upper,bb_lower,bb_dist_upper,bb_dist_lower,bb_pos,bb_break_upper,bb_break_lower,bb_break_lower_cumulative,bb_break_upper_cumulative,OBV,AD,CMF,MFI,volume_avg,ForceIndex,hammer_rsi_low,engulfing_near_bb_lower,mfi_oversold_breakout,macd_bull_cross,bb_rsi_overbought,force_volume_spike,3crows_rsi_high,bullish_signals,bearish_signals,doji_rsi_extreme,hammer_bb_low,hangingman_bearish,engulfing_with_divergence,morningstar_reversal,eveningstar_reversal,soldiers_after_acc,bullish_patterns,bearish_patterns,trading_volume_usd
2021-01-02,1.799,0,0,0,0,0,0,0,0,0,0,-0.0362488720686713,-0.0073504142863914,-0.0007804376523343,0.0072680926002159,0.0278215448421686,-0.0205534522419526,-1.3922495561704014,-0.0129337556745779,-0.0644861767910408,47.27961256650668,0.646965272002956,0.0768959604136428,0.8007571928302416,0.4931733511756703,0.4408166697537334,0.112624411226666,0.2034984664079439,0,0,0,0,8973101.88000002,-17704967.372231524,-0.0140222497919318,71.94414949083537,605576.3325,28309.83466307692,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1907901.86
2021-01-03,2.185,80,0,0,0,0,0,0,0,0,0,-0.0795348397973171,-0.0171013561673823,-0.0041287393507801,-0.0074558155293465,0.0207660727678655,-0.0282218882972121,-2.2703221388922112,-0.0195768568893339,-0.0701350149651513,39.40630433362399,0.6383664459543509,0.0877892318211846,0.8139449095967202,0.4627879823119816,0.7788072269655124,-0.0113836916766409,-0.0148336494167537,0,1,1,0,10449038.51000002,-18524932.165652294,-0.0807267507252084,79.27387244588857,660301.9289999999,72718.26246846154,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,3225533.71
2021-01-04,2.491,0,0,0,0,0,0,0,0,0,0,-0.0914364289897602,-0.0221953586983952,-0.0059948241419666,-0.0233854371575026,0.0119357707827919,-0.0353212079402945,-2.8845318695829523,-0.0389902739294247,-0.0715008864933366,36.460317580748,0.6299981103072348,0.1016518469652747,0.8333018042377843,0.4266944163766853,1.075809859147664,-0.0629239872679253,-0.0621234721648841,0,1,2,0,11992229.56000002,-17480919.287731215,-0.0273187468501125,68.26857102919783,704077.1945,110890.59564538462,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3844190.88
2021-01-05,2.158,-80,0,0,0,0,0,0,0,0,0,-0.0259777743632589,-0.0145509380894343,-0.003766511098032,-0.0306541853776541,0.0034177795507026,-0.0340719649283568,-2.8309344214334384,-0.0279418639012843,-0.0865089947200429,39.155903601704445,0.6251787673510534,0.1072833309593202,0.839745429269694,0.4106121054324128,0.8120359735400243,0.113964922843798,0.1230721517536849,0,0,1,0,10746217.90000002,-18660680.83660696,-0.0954592796008255,63.00828890940133,737498.2855,93126.66294384615,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2688693.35
2021-01-06,1.925,0,0,0,0,0,0,0,0,0,0,0.02041725003983,-0.0076755713537489,-0.0017574536371679,-0.031524704316308,-0.0035707172226994,-0.0279539870936085,-2.519398812915495,0.0051151868362059,-0.0618169509945031,31.94870942918733,0.6214146745608733,0.1096985259150269,0.8408117263909272,0.4020176227308194,0.618426449285007,0.2261811612701833,0.2677943679923822,0,0,0,0,9511108.29000002,-19794690.067706537,-0.1423574499613264,67.25117405445417,771121.2224999999,64494.006589230776,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2377386.04
2021-01-07,2.36,0,0,0,0,0,0,0,0,0,0,-0.0424519813159495,-0.0164542047839209,-0.0046347624116723,-0.0385171207621231,-0.0105599979305841,-0.0279571228315389,-2.4546651502753947,-0.0148130979652169,-0.0376397750302953,32.317259023700274,0.6137509974001886,0.1171679815987777,0.848086960597744,0.3794150342026331,0.9455306907772744,0.1296133204745141,0.1205543807323128,0,0,0,0,11168788.410000024,-19494773.18807108,-0.1168930464606696,72.7747754446052,837105.0735,116620.9868661538,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3802755.73
2021-01-08,3.225,0,0,0,0,0,0,0,0,0,0,-0.1079281485079574,-0.0282571850041095,-0.0084953799674436,-0.0525279525827224,-0.0189535888610118,-0.0335743637217106,-2.5517460538651355,-0.0178108260440633,-0.0275087371730743,29.842250709809026,0.5999445329340324,0.1339870990761649,0.8679187310863623,0.3319703347817024,1.6832934966424336,-0.0263332366188063,-0.0158924973966671,0,1,1,0,13200834.440000022,-18931076.402384423,-0.0579936231276565,76.46413981614565,917602.503,255978.85545769235,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6282357.67
2021-01-09,3.381,0,0,0,0,0,0,0,0,0,0,-0.0961529236858578,-0.0294910952490288,-0.0090978337090886,-0.0644888572385533,-0.0280606425365201,-0.0364282147020331,-2.518572425649911,-0.0113428899806159,-0.0439668139898961,24.09246515980276,0.5831069652998532,0.1489620885388166,0.8810311423774865,0.2851827882222199,1.9017876481089355,0.0607143692067851,0.0309372263931882,0,0,0,0,14139023.30000002,-18744440.70151211,-0.036864247605668,79.5931065211098,943523.9025,268281.82659230765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090043.83
2021-01-10,3.471,0,0,0,0,0,0,0,0,0,0,-0.0851835950900052,-0.0303882732819112,-0.0095866777331831,-0.0744414093367996,-0.037336795896576,-0.0371046134402236,-2.4231710300392613,-0.0265048864116035,-0.0556586024362827,22.47196003204489,0.5650551523588477,0.1619726477075462,0.8890004477739402,0.2411098569437552,2.0963238879013124,0.1602319081696848,0.0710072883855443,0,0,0,0,14801497.26000002,-18727795.62716813,-0.0552439033037252,71.72303654353223,956652.805,262587.6441523077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2307348.61
2021-01-11,3.118,-80,0,0,0,0,0,0,0,0,0,-0.0201600756004592,-0.0238796626833699,-0.0078939603669432,-0.0778513681024604,-0.0454397103377529,-0.0324116577647074,-2.2094310106448325,-0.0283430427936302,-0.0661908191858496,29.704115560463407,0.5481403213400473,0.1680123099602439,0.8841649412605352,0.2121157014195593,1.6673063655338989,0.3600995309546412,0.1776159039382949,0,0,0,0,13613549.81000002,-18571043.56468913,-0.0221654975353783,73.0323610980526,992026.3075,217980.97445153847,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3583742.86
