date,trading_volume_usd,close,search_trends,btc_close,halving_index,dxy,sp500_close,fed_rate,vmd_1,vmd_2,vmd_3,vmd_4,vmd_5,vmd_6,vmd_7,vmd_8,vmd_9,vmd_10,tx_count,address_count,receiver_count,unique_addresses,inflow,outflow,total_volume,net_flow,mean_amount,std_amount,median_amount,max_amount,min_amount,whale_tx_count,whale_volume,address_entropy,burstiness,inflow_rel,outflow_rel,total_volume_rel,inflow_ratio,outflow_ratio,avg_tx_amount,value_volatility,whale_volume_share,avg_whale_amount,velocity_tpm,rolling_netflow_3h,rolling_netflow_24h,rolling_volume_3h,rolling_volume_24h,rolling_netflow_3h_normed,rolling_netflow_24h_normed,rolling_tx_mean_spike,rolling_vol_mean_spike,rolling_netflow_mean_spike,rolling_inflow_mean_spike,rolling_outflow_mean_spike,rolling_addresses_mean_spike,rolling_whale_share_mean_spike,spike_tx,spike_volume,spike_netflow,spike_inflow,spike_outflow,spike_unique_addresses,spike_whales
2021-01-02,1907901.86,1.799,4,32203.64,0.8383561643835616,111.3169,3756.1,0.09,2.060043202453083,-0.5092570514784731,0.1947877657583848,0.0025506046228356,0.0310464076547074,0.0370958474436405,-0.0341026811065134,-0.0108418996074355,-0.0083867929847016,0.0009193998450013,14,4,9,12,3967.681302,10715.039773,14682.721075,-6747.358471,1048.7657910714286,1924.415870108768,50.3655,7000.0,6.712,1,7000.0,0.991138896609094,1.388949210051393,-0.5880347574614583,-1.5880347574614584,-2.176069514922917,0.2702279285789674,0.7297720714210325,1048.7657910714286,1.8349338684500447,0.4767508668348111,7000.0,0.0097222222222222,2599.2531579999977,30465.193984321217,38587.33515599801,817159.113806537,0.0673602659393796,0.0372818383465204,7.857142857142857,6680.790454714,-200.9921255714285,3239.899164571286,3440.8912901427143,7.857142857142857,0.1533911478177769,1.781818181818182,2.197752073579826,33.57026277431016,1.2246311074699812,3.1140303106046643,1.5272727272727271,3.1080728817622094
2021-01-03,3225533.71,2.185,4,33063.48,0.8376712328767123,111.3169,3756.1,0.09,2.071519700042151,-0.4361536782781567,0.249810359939844,0.0640423251942877,0.0620442681053768,-0.006739773894495,-0.0058331659554846,0.0207647135282467,0.0184042940757737,0.0018652508792462,18,8,11,16,9254.63109,4056.36801377,13310.999103769998,5198.263076229999,739.4999502094445,1595.8269955626586,235.398506885,6702.87889,2.77221,1,6702.87889,1.6865628353571818,1.0289614518582435,1.780331421146898,0.7803314211468979,2.560662842293796,0.6952619422368425,0.3047380577631575,739.4999502094444,2.1579812075858578,0.5035594126140075,6702.87889,0.0125,-1726.8239147700033,42888.77206623124,31797.41645877,185321.503317767,-0.0543070509206017,0.2314290101170328,10.285714285714286,8284.361755966858,243.61688603285697,4263.989320999857,4020.372434967,9.857142857142858,0.2253282067626351,1.7499999999999998,1.6067621738249993,21.33786028087109,2.170416104098003,1.0089532945977666,1.623188405797101,2.234781964711884
2021-01-04,3844190.88,2.491,4,32030.55,0.836986301369863,111.2075,3700.7,0.09,2.0897039298463707,-0.3417563946866858,0.3155279939666918,0.1078097326726867,0.1056415383399745,0.0252768591860891,0.0541983732540894,0.0029694517025965,-0.0129639361096367,-0.0004506260451326,30,4,12,13,5358.035075,14528.673158069,19886.708233069,-9170.638083069,662.8902744356333,760.7028434750392,316.0,3444.035095,5.654,0,0.0,1.028089377324898,1.2388433642890615,-0.5842597893915477,-1.5842597893915475,-2.168519578783095,0.2694279521882001,0.7305720478117999,662.8902744356333,1.1475546901373397,0.0,,0.0208333333333333,-10719.733477839003,33731.12398316224,47880.428411839,205195.221550836,-0.2238854962957771,0.1643855238354346,14.285714285714286,10835.752103548144,-776.9062972627144,5029.422903142715,5806.329200405428,11.285714285714286,0.2253282067626351,2.1,1.8352863781884727,11.804046530939504,1.0653379479486496,2.5022131292615186,1.1518987341772151,0.0
2021-01-05,2688693.35,2.158,4,34038.29,0.8363013698630137,110.9574,3726.9,0.09,2.092350063012782,-0.274230646177985,0.3005533744690992,0.1034776859799992,-0.0593267915458847,-0.0156824744319253,-0.0368835930915748,-0.0323074796446086,0.0003608117026888,-0.0007544299515611,13,9,5,13,14661.360924988,5299.3178,19960.678724988,9362.043124988002,1535.4368249990769,2164.3598778643827,64.899995,5999.995,3.735,2,11111.984939999,2.057897531913409,1.6527709863920212,1.566042874322563,0.5660428743225632,2.132085748645126,0.7345121439499956,0.2654878560500044,1535.4368249990769,1.4096052944839876,0.5566937423870431,5555.9924699995,0.0090277777777777,5389.668118148999,40549.14023315023,53158.386061827,222611.873400824,0.1013888591704125,0.1821517406672169,16.0,13401.564778546428,846.2412920212859,7123.903035283858,6277.661743262572,12.857142857142858,0.3048558842464985,0.8125,1.4894289625746966,11.06308946781164,2.0580517242264524,0.844154721411588,1.011111111111111,1.8260882310440003
2021-01-06,2377386.04,1.925,4,36849.86,0.8356164383561644,110.8502,3748.1,0.09,2.08146911435721,-0.2357251119219607,0.2307566942212474,0.0196742229597404,-0.0886888361685896,-0.0914237206891259,-0.0512709869924447,0.0243357695707899,0.0076091484361617,0.0008893574972183,76,15,23,35,33765.43312,55339.30744034,89104.74056034,-21573.87432034,1172.430796846579,4098.879049268354,58.5,29999.8,1.0,5,68503.33238499,1.6543205286103797,1.609667684216909,-1.5651075286076783,-2.5651075286076788,-4.130215057215357,0.3789409284810689,0.6210590715189311,1172.430796846579,3.4960520145776437,0.7687955989120565,13700.666476998002,0.0527777777777777,-21382.469278421,18764.570912810235,128952.127518397,311505.918961164,-0.1658171112793037,0.0602382483626246,26.428571428571427,25835.78025402357,-1940.7075777415716,11947.536338141,13888.243915882573,17.285714285714285,0.4146838269482208,2.875675675675676,3.448889086539708,11.116499243768512,2.826141906110645,3.984615173488857,2.024793388429752,1.8539319571969988
2021-01-07,3802755.73,2.36,4,39479.41,0.834931506849315,111.3042,3803.8,0.09,2.0874618085668666,-0.1495890051154083,0.1776404553428168,-0.0280803035002733,0.0391286266135317,0.0439772168138775,0.0796218809260769,0.0198190974912305,-0.0043127541626098,0.0011450744693839,61,16,23,36,370802.815074999,138674.2141,509477.029174999,232128.600974999,8352.082445491787,30516.9413135244,166.0,184379.999995,1.0,13,469793.31211,1.8801086456308016,1.9496246611162569,1.597402532551065,0.597402532551065,2.19480506510213,0.7278106643501544,0.2721893356498456,8352.082445491787,3.653812269297768,0.9221089179834876,36137.94708538461,0.0423611111111111,219916.769779647,250895.07798780923,618542.448460327,820981.0420361629,0.3555403033810578,0.3056039849173005,32.142857142857146,95746.65330745227,29859.901111686857,62803.27720956957,32943.37609788271,19.571428571428573,0.4611297912473437,1.8977777777777776,5.321094905939074,7.773923969364596,5.904195315121205,4.20947184307903,1.8394160583941603,1.9996732709227212
2021-01-08,6282357.67,3.225,4,40636.24,0.8342465753424657,111.2847,3824.7,0.09,2.0739149336471865,-0.2179556438516369,0.489910765065031,0.1716776945664246,0.095558206958248,0.2327945211569703,0.0955143301532294,-0.00738408661792,0.0161027256264456,0.0031016817515881,84,34,26,58,185163.21845873,127926.160911,313089.37936973,57237.05754773,3727.2545163063096,17628.895523050593,144.9974975,128039.995,1.694865,6,267440.80259,2.582741140283301,1.847776379766893,3.235023364091041,2.235023364091041,5.470046728182082,0.5914068973897358,0.4085931026102641,3727.2545163063096,4.729726785741677,0.8541995360186804,44573.46709833333,0.0583333333333333,267791.7842023889,316348.82954053924,911671.149105069,1125845.777410893,0.2937372587311374,0.2809877124272265,42.285714285714285,139930.32232027085,38062.01340707686,88996.16786367385,50934.154456597,26.142857142857142,0.5831582963928694,1.9864864864864864,2.237466291638597,1.5037842831795103,2.0805751854660395,2.51159879408641,2.218579234972678,1.464781588982509
2021-01-09,3090043.83,3.381,4,40236.66,0.8335616438356165,111.2847,3824.7,0.09,2.085734018601113,-0.1214677970198895,0.6078813113782792,0.2297429674916929,0.1828727943310266,0.2521887951636311,-0.0807911760520773,-0.0010297395439546,-0.0140047491370512,-0.0022724305690725,36,15,13,25,35749.723029,23646.73950831,59396.46253731,12102.98352069,1649.9017371475,1560.6176416880096,1321.6926,5491.627195,1.401,3,15983.249195,2.171072780437307,1.1868956009331404,2.953794241550937,1.9537942415509368,4.907588483101873,0.6018830331274989,0.3981169668725012,1649.9017371475,0.9458852042826182,0.2690942947142701,5327.749731666667,0.025,301468.6420434189,305144.72968123027,881962.871082039,1150540.731808204,0.3418155706187055,0.2652185370279425,45.42857142857143,146317.99967202943,40754.91940588971,93536.45953895956,52781.540133069866,28.0,0.5534930718042207,0.7924528301886792,0.4059409141079476,0.2969698798850018,0.3822009428752178,0.4480115481415124,0.8928571428571429,0.4861746396158198
2021-01-10,2307348.61,3.471,4,38202.08,0.8328767123287671,111.2847,3824.7,0.09,2.109234020448922,-0.0036969461296946,0.7553468960560489,0.3184146720364004,-0.0783702532067614,-0.0590228742772088,-0.0175662350886825,0.0197604198928338,0.0150251545998091,0.0063968292683473,31,17,11,26,420519.39457795897,982.83064,421502.22521795897,419536.56393795897,13596.84597477287,47091.41359062819,101.4036,194168.97408796,1.195,6,405376.93906796,2.570254479607908,1.0984254508308753,1.0023426578860606,0.0023426578860605,1.0046853157721212,0.9976682670192506,0.0023317329807494,13596.84597477287,3.4634071517762286,0.961743295325047,67562.82317799333,0.0215277777777777,488876.60500637896,725349.8826241891,793988.067124999,1561374.3680311628,0.615722861902173,0.4645585949632498,47.285714285714285,204631.0319740564,99946.10524327955,152288.568608668,52342.46336538844,29.428571428571427,0.6189479121915121,0.6555891238670695,2.05981576279886,4.197627940746283,2.7613326359285497,0.0187769275041399,0.883495145631068,1.5538355916248223
2021-01-11,3583742.86,3.118,4,35496.03,0.8321917808219178,111.8257,3799.6,0.09,2.1008761575936923,0.0580828130389827,0.784358352032354,0.2273272513203872,0.1230943591802435,-0.2337475521111052,0.0527787804829098,-0.0265192534131988,-0.0122909710480923,-0.0075033721901294,18,12,8,18,1773488.369906085,7407.1875,1780895.557406085,1766081.182406085,98938.64207811584,193528.65867977863,1136.21615,500004.969478695,1.09,5,1769014.908426085,2.2602036229855638,1.0822720603518334,1.0041941376046533,0.0041941376046533,1.0083882752093067,0.9958407513179556,0.0041592486820444,98938.64207811584,1.9560472492333212,0.9933288345121684,353802.981685217,0.0125,2197720.729864734,2488509.7442602734,2261794.245161354,3331002.966667247,0.9716713775208812,0.7470752110287342,45.57142857142857,456203.72471305873,353553.5081703016,404878.6164416801,51325.10827137858,30.142857142857142,0.7608520314075362,0.3949843260188088,3.903728665359376,4.995230259617137,4.3802964589549855,0.1443189844010639,0.5971563981042655,1.3055479824040983
