date,trading_volume_usd,close,search_trends,btc_close,halving_index,dxy,sp500_close,fed_rate,vmd_1,vmd_2,vmd_3,vmd_4,vmd_5,vmd_6,vmd_7,vmd_8,vmd_9,vmd_10,CDL_ENGULFING,CDL_HAMMER,CDL_HANGINGMAN,CDL_DOJI,CDL_MORNINGSTAR,CDL_EVENINGSTAR,CDL_3WHITESOLDIERS,CDL_3BLACKCROWS,CDL_PIERCING,CDL_DARKCLOUD,EMA_5,EMA_30,EMA_100,macd,macd_signal,macd_diff,macd_z,macd_price_slope_diff,divergence_strength,rsi,bb_ma,bb_std,bb_upper,bb_lower,bb_dist_upper,bb_dist_lower,bb_pos,bb_break_upper,bb_break_lower,bb_break_lower_cumulative,bb_break_upper_cumulative,OBV,AD,CMF,MFI,volume_avg,ForceIndex,hammer_rsi_low,engulfing_near_bb_lower,mfi_oversold_breakout,macd_bull_cross,bb_rsi_overbought,force_volume_spike,3crows_rsi_high,bullish_signals,bearish_signals,doji_rsi_extreme,hammer_bb_low,hangingman_bearish,engulfing_with_divergence,morningstar_reversal,eveningstar_reversal,soldiers_after_acc,bullish_patterns,bearish_patterns
2021-01-02,1907901.86,1.799,4,32203.64,0.8383561643835616,111.3169,3756.1,0.09,2.060043202453083,-0.5092570514784731,0.1947877657583848,0.0025506046228356,0.0310464076547074,0.0370958474436405,-0.0341026811065134,-0.0108418996074355,-0.0083867929847016,0.0009193998450013,0,0,0,0,0,0,0,0,0,0,-0.0362488720686713,-0.0073504142863914,-0.0007804376523343,0.0072680926002159,0.0278215448421686,-0.0205534522419526,-1.3922495561704014,-0.0129337556745779,-0.0644861767910408,47.27961256650668,0.646965272002956,0.0768959604136428,0.8007571928302416,0.4931733511756703,0.4408166697537334,0.112624411226666,0.2034984664079439,0,0,0,0,8973101.88000002,-17704967.372231524,-0.0140222497919318,71.94414949083537,605576.3325,28309.83466307692,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,3225533.71,2.185,4,33063.48,0.8376712328767123,111.3169,3756.1,0.09,2.071519700042151,-0.4361536782781567,0.249810359939844,0.0640423251942877,0.0620442681053768,-0.006739773894495,-0.0058331659554846,0.0207647135282467,0.0184042940757737,0.0018652508792462,80,0,0,0,0,0,0,0,0,0,-0.0795348397973171,-0.0171013561673823,-0.0041287393507801,-0.0074558155293465,0.0207660727678655,-0.0282218882972121,-2.2703221388922112,-0.0195768568893339,-0.0701350149651513,39.40630433362399,0.6383664459543509,0.0877892318211846,0.8139449095967202,0.4627879823119816,0.7788072269655124,-0.0113836916766409,-0.0148336494167537,0,1,1,0,10449038.51000002,-18524932.165652294,-0.0807267507252084,79.27387244588857,660301.9289999999,72718.26246846154,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
2021-01-04,3844190.88,2.491,4,32030.55,0.836986301369863,111.2075,3700.7,0.09,2.0897039298463707,-0.3417563946866858,0.3155279939666918,0.1078097326726867,0.1056415383399745,0.0252768591860891,0.0541983732540894,0.0029694517025965,-0.0129639361096367,-0.0004506260451326,0,0,0,0,0,0,0,0,0,0,-0.0914364289897602,-0.0221953586983952,-0.0059948241419666,-0.0233854371575026,0.0119357707827919,-0.0353212079402945,-2.8845318695829523,-0.0389902739294247,-0.0715008864933366,36.460317580748,0.6299981103072348,0.1016518469652747,0.8333018042377843,0.4266944163766853,1.075809859147664,-0.0629239872679253,-0.0621234721648841,0,1,2,0,11992229.56000002,-17480919.287731215,-0.0273187468501125,68.26857102919783,704077.1945,110890.59564538462,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,2688693.35,2.158,4,34038.29,0.8363013698630137,110.9574,3726.9,0.09,2.092350063012782,-0.274230646177985,0.3005533744690992,0.1034776859799992,-0.0593267915458847,-0.0156824744319253,-0.0368835930915748,-0.0323074796446086,0.0003608117026888,-0.0007544299515611,-80,0,0,0,0,0,0,0,0,0,-0.0259777743632589,-0.0145509380894343,-0.003766511098032,-0.0306541853776541,0.0034177795507026,-0.0340719649283568,-2.8309344214334384,-0.0279418639012843,-0.0865089947200429,39.155903601704445,0.6251787673510534,0.1072833309593202,0.839745429269694,0.4106121054324128,0.8120359735400243,0.113964922843798,0.1230721517536849,0,0,1,0,10746217.90000002,-18660680.83660696,-0.0954592796008255,63.00828890940133,737498.2855,93126.66294384615,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2021-01-06,2377386.04,1.925,4,36849.86,0.8356164383561644,110.8502,3748.1,0.09,2.08146911435721,-0.2357251119219607,0.2307566942212474,0.0196742229597404,-0.0886888361685896,-0.0914237206891259,-0.0512709869924447,0.0243357695707899,0.0076091484361617,0.0008893574972183,0,0,0,0,0,0,0,0,0,0,0.02041725003983,-0.0076755713537489,-0.0017574536371679,-0.031524704316308,-0.0035707172226994,-0.0279539870936085,-2.519398812915495,0.0051151868362059,-0.0618169509945031,31.94870942918733,0.6214146745608733,0.1096985259150269,0.8408117263909272,0.4020176227308194,0.618426449285007,0.2261811612701833,0.2677943679923822,0,0,0,0,9511108.29000002,-19794690.067706537,-0.1423574499613264,67.25117405445417,771121.2224999999,64494.006589230776,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,3802755.73,2.36,4,39479.41,0.834931506849315,111.3042,3803.8,0.09,2.0874618085668666,-0.1495890051154083,0.1776404553428168,-0.0280803035002733,0.0391286266135317,0.0439772168138775,0.0796218809260769,0.0198190974912305,-0.0043127541626098,0.0011450744693839,0,0,0,0,0,0,0,0,0,0,-0.0424519813159495,-0.0164542047839209,-0.0046347624116723,-0.0385171207621231,-0.0105599979305841,-0.0279571228315389,-2.4546651502753947,-0.0148130979652169,-0.0376397750302953,32.317259023700274,0.6137509974001886,0.1171679815987777,0.848086960597744,0.3794150342026331,0.9455306907772744,0.1296133204745141,0.1205543807323128,0,0,0,0,11168788.410000024,-19494773.18807108,-0.1168930464606696,72.7747754446052,837105.0735,116620.9868661538,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,6282357.67,3.225,4,40636.24,0.8342465753424657,111.2847,3824.7,0.09,2.0739149336471865,-0.2179556438516369,0.489910765065031,0.1716776945664246,0.095558206958248,0.2327945211569703,0.0955143301532294,-0.00738408661792,0.0161027256264456,0.0031016817515881,0,0,0,0,0,0,0,0,0,0,-0.1079281485079574,-0.0282571850041095,-0.0084953799674436,-0.0525279525827224,-0.0189535888610118,-0.0335743637217106,-2.5517460538651355,-0.0178108260440633,-0.0275087371730743,29.842250709809026,0.5999445329340324,0.1339870990761649,0.8679187310863623,0.3319703347817024,1.6832934966424336,-0.0263332366188063,-0.0158924973966671,0,1,1,0,13200834.440000022,-18931076.402384423,-0.0579936231276565,76.46413981614565,917602.503,255978.85545769235,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-09,3090043.83,3.381,4,40236.66,0.8335616438356165,111.2847,3824.7,0.09,2.085734018601113,-0.1214677970198895,0.6078813113782792,0.2297429674916929,0.1828727943310266,0.2521887951636311,-0.0807911760520773,-0.0010297395439546,-0.0140047491370512,-0.0022724305690725,0,0,0,0,0,0,0,0,0,0,-0.0961529236858578,-0.0294910952490288,-0.0090978337090886,-0.0644888572385533,-0.0280606425365201,-0.0364282147020331,-2.518572425649911,-0.0113428899806159,-0.0439668139898961,24.09246515980276,0.5831069652998532,0.1489620885388166,0.8810311423774865,0.2851827882222199,1.9017876481089355,0.0607143692067851,0.0309372263931882,0,0,0,0,14139023.30000002,-18744440.70151211,-0.036864247605668,79.5931065211098,943523.9025,268281.82659230765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,2307348.61,3.471,4,38202.08,0.8328767123287671,111.2847,3824.7,0.09,2.109234020448922,-0.0036969461296946,0.7553468960560489,0.3184146720364004,-0.0783702532067614,-0.0590228742772088,-0.0175662350886825,0.0197604198928338,0.0150251545998091,0.0063968292683473,0,0,0,0,0,0,0,0,0,0,-0.0851835950900052,-0.0303882732819112,-0.0095866777331831,-0.0744414093367996,-0.037336795896576,-0.0371046134402236,-2.4231710300392613,-0.0265048864116035,-0.0556586024362827,22.47196003204489,0.5650551523588477,0.1619726477075462,0.8890004477739402,0.2411098569437552,2.0963238879013124,0.1602319081696848,0.0710072883855443,0,0,0,0,14801497.26000002,-18727795.62716813,-0.0552439033037252,71.72303654353223,956652.805,262587.6441523077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,3583742.86,3.118,4,35496.03,0.8321917808219178,111.8257,3799.6,0.09,2.1008761575936923,0.0580828130389827,0.784358352032354,0.2273272513203872,0.1230943591802435,-0.2337475521111052,0.0527787804829098,-0.0265192534131988,-0.0122909710480923,-0.0075033721901294,-80,0,0,0,0,0,0,0,0,0,-0.0201600756004592,-0.0238796626833699,-0.0078939603669432,-0.0778513681024604,-0.0454397103377529,-0.0324116577647074,-2.2094310106448325,-0.0283430427936302,-0.0661908191858496,29.704115560463407,0.5481403213400473,0.1680123099602439,0.8841649412605352,0.2121157014195593,1.6673063655338989,0.3600995309546412,0.1776159039382949,0,0,0,0,13613549.81000002,-18571043.56468913,-0.0221654975353783,73.0323610980526,992026.3075,217980.97445153847,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2021-01-12,3508691.64,3.737,4,34058.4,0.8315068493150685,111.5501,3801.2,0.09,2.1148702748450665,0.1638752959904238,0.8770932705018976,0.2319258423325107,0.0570448859325568,0.1002730581024954,0.0757550381790399,0.035597476734537,0.0165980118692746,0.01168701782184,80,0,0,0,0,0,0,0,0,0,-0.057012437569635,-0.0285248928398021,-0.0094251276637407,-0.0832178141995577,-0.0529953311101139,-0.0302224830894438,-2.0820702610931474,-0.0209271305085009,-0.0757750597137346,30.30139091602057,0.5211371181074307,0.1642529376966251,0.8496429935006808,0.1926312427141804,1.9647761080802044,0.3278253214144305,0.1429927231122306,0,0,0,0,14619067.65000002,-18003859.250829466,0.0159443308470585,76.29767337771268,1009794.9985,272242.0998546154,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2021-01-13,2391378.07,3.647,4,37380.85,0.8308219178082191,111.3622,3809.8,0.09,2.127600293703967,0.2589897712849858,0.9414499921719498,0.2010822391732833,-0.0224962249477421,0.1873478226764215,-0.0671968628588236,-0.0216512731097547,-0.0160941208291685,-0.014530085320143,0,0,0,0,0,0,0,0,0,0,-0.0439501149814842,-0.0279288034031279,-0.0094566604850911,-0.0867582260824424,-0.0597479101045796,-0.0270103159778628,-1.943876777490089,-0.0012414089353959,-0.050511582237527,25.25213800792132,0.4986212317910857,0.1644987561875373,0.8276187441661602,0.1696237194160111,1.9242881278897828,0.4006556371599508,0.1723291733687934,0,0,0,0,13942270.69000002,-18110721.928607028,-0.0065471665479019,73.81114835396491,1016217.9655000002,268820.2878592308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,2381486.2,3.326,4,39155.58,0.8301369863013699,111.1567,3795.5,0.09,2.130671581279996,0.3274700962931664,0.9559159349242774,0.1042752024217489,-0.1256536519148583,-0.0011255418583086,-0.1087530068329079,-0.0273410981681725,0.0069806883752248,0.014871236162687,0,0,0,0,0,0,0,0,0,0,-0.0226917553878494,-0.0258883813615043,-0.0090834007962449,-0.0879499892307036,-0.0653883259298044,-0.0225616633008992,-1.7866294345342228,0.0020596348508511,-0.0201089045930457,24.893500389129528,0.4786129900108135,0.1642528724504308,0.8071187349116753,0.1501072451099518,1.7788203865351342,0.4831973849252713,0.2136134344396901,0,0,0,0,13250559.15000002,-18599362.189912274,-0.0320391333819969,69.4977572147835,1024946.335,222556.81960384612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
