date,trading_volume_usd,close,search_trends,btc_close,halving_index,dxy,sp500_close,fed_rate,vmd_1,vmd_2,vmd_3,vmd_4,vmd_5,vmd_6,vmd_7,vmd_8,vmd_9,vmd_10
2021-01-02,1907901.86,1.799,4,32203.64,0.8383561643835616,111.3169,3756.1,0.09,2.060043202453083,-0.5092570514784731,0.1947877657583848,0.0025506046228356,0.0310464076547074,0.0370958474436405,-0.0341026811065134,-0.0108418996074355,-0.0083867929847016,0.0009193998450013
2021-01-03,3225533.71,2.185,4,33063.48,0.8376712328767123,111.3169,3756.1,0.09,2.071519700042151,-0.4361536782781567,0.249810359939844,0.0640423251942877,0.0620442681053768,-0.006739773894495,-0.0058331659554846,0.0207647135282467,0.0184042940757737,0.0018652508792462
2021-01-04,3844190.88,2.491,4,32030.55,0.836986301369863,111.2075,3700.7,0.09,2.0897039298463707,-0.3417563946866858,0.3155279939666918,0.1078097326726867,0.1056415383399745,0.0252768591860891,0.0541983732540894,0.0029694517025965,-0.0129639361096367,-0.0004506260451326
2021-01-05,2688693.35,2.158,4,34038.29,0.8363013698630137,110.9574,3726.9,0.09,2.092350063012782,-0.274230646177985,0.3005533744690992,0.1034776859799992,-0.0593267915458847,-0.0156824744319253,-0.0368835930915748,-0.0323074796446086,0.0003608117026888,-0.0007544299515611
2021-01-06,2377386.04,1.925,4,36849.86,0.8356164383561644,110.8502,3748.1,0.09,2.08146911435721,-0.2357251119219607,0.2307566942212474,0.0196742229597404,-0.0886888361685896,-0.0914237206891259,-0.0512709869924447,0.0243357695707899,0.0076091484361617,0.0008893574972183
2021-01-07,3802755.73,2.36,4,39479.41,0.834931506849315,111.3042,3803.8,0.09,2.0874618085668666,-0.1495890051154083,0.1776404553428168,-0.0280803035002733,0.0391286266135317,0.0439772168138775,0.0796218809260769,0.0198190974912305,-0.0043127541626098,0.0011450744693839
2021-01-08,6282357.67,3.225,4,40636.24,0.8342465753424657,111.2847,3824.7,0.09,2.0739149336471865,-0.2179556438516369,0.489910765065031,0.1716776945664246,0.095558206958248,0.2327945211569703,0.0955143301532294,-0.00738408661792,0.0161027256264456,0.0031016817515881
2021-01-09,3090043.83,3.381,4,40236.66,0.8335616438356165,111.2847,3824.7,0.09,2.085734018601113,-0.1214677970198895,0.6078813113782792,0.2297429674916929,0.1828727943310266,0.2521887951636311,-0.0807911760520773,-0.0010297395439546,-0.0140047491370512,-0.0022724305690725
2021-01-10,2307348.61,3.471,4,38202.08,0.8328767123287671,111.2847,3824.7,0.09,2.109234020448922,-0.0036969461296946,0.7553468960560489,0.3184146720364004,-0.0783702532067614,-0.0590228742772088,-0.0175662350886825,0.0197604198928338,0.0150251545998091,0.0063968292683473
2021-01-11,3583742.86,3.118,4,35496.03,0.8321917808219178,111.8257,3799.6,0.09,2.1008761575936923,0.0580828130389827,0.784358352032354,0.2273272513203872,0.1230943591802435,-0.2337475521111052,0.0527787804829098,-0.0265192534131988,-0.0122909710480923,-0.0075033721901294
2021-01-12,3508691.64,3.737,4,34058.4,0.8315068493150685,111.5501,3801.2,0.09,2.1148702748450665,0.1638752959904238,0.8770932705018976,0.2319258423325107,0.0570448859325568,0.1002730581024954,0.0757550381790399,0.035597476734537,0.0165980118692746,0.01168701782184
2021-01-13,2391378.07,3.647,4,37380.85,0.8308219178082191,111.3622,3809.8,0.09,2.127600293703967,0.2589897712849858,0.9414499921719498,0.2010822391732833,-0.0224962249477421,0.1873478226764215,-0.0671968628588236,-0.0216512731097547,-0.0160941208291685,-0.014530085320143
2021-01-14,2381486.2,3.326,4,39155.58,0.8301369863013699,111.1567,3795.5,0.09,2.130671581279996,0.3274700962931664,0.9559159349242774,0.1042752024217489,-0.1256536519148583,-0.0011255418583086,-0.1087530068329079,-0.0273410981681725,0.0069806883752248,0.014871236162687
2021-01-15,1899077.16,3.245,4,36790.17,0.8294520547945206,111.5106,3768.2,0.09,2.236132454929684,0.9583385907685172,0.0837892651835815,-0.1670114341500575,-0.1402100637125094,-0.0414299060167887,0.0690044308467166,0.0379752720872456,0.0044141427128903,-0.0129464872660718
2021-01-16,1600025.9,3.449,4,36025.26,0.8287671232876712,111.5106,3768.2,0.09,2.2466308066721226,1.0341035064440711,0.0034248252650782,-0.1447201572751103,-0.0901824529544559,0.1290808233829125,0.0306674073093898,-0.0130529435315275,-0.0067040951601234,0.0136652469888403
2021-01-17,2598160.91,3.824,4,35839.51,0.8280821917808219,111.5106,3768.2,0.09,2.2696375156384305,1.1378721088665769,-0.0366469706796211,0.0069306033863494,0.1295884787662602,0.1003525056252683,-0.0427185006460573,-0.0013301349083367,0.0172867593326941,-0.0086909090895619
2021-01-18,3352152.23,3.798,4,36623.04,0.8273972602739726,111.5106,3768.2,0.09,2.288872874985381,1.2203179830744328,-0.0608433311404884,0.1478296379586261,0.1441816970282917,-0.1068846280989928,-0.0041303119516764,0.01280994646401,-0.0182102977233261,0.0071620605998023
2021-01-19,3247559.84,3.635,4,35932.79,0.8267123287671233,111.4527,3798.9,0.09,2.301274858642041,1.269688362596084,-0.0855244284850604,0.165868147411183,-0.0338170356709428,-0.1286207223194194,0.0348091542417662,-0.0180674567124457,0.0125169609379819,-0.0052732440420644
2021-01-20,2499519.92,3.736,4,35501.38,0.826027397260274,111.4527,3851.8,0.09,2.3165371417021827,1.315452740023716,-0.0818352948255947,0.1431660861723258,-0.1420220875021689,0.0999897061804443,0.0009844737453204,0.0172277381942335,-0.0008913113955025,0.0047188335873476
2021-01-21,2359206.71,2.997,4,30840.3,0.8253424657534246,111.1973,3853.1,0.08,2.302648849499683,1.2822521333996793,-0.1669003763364671,-0.05825813902777,-0.1355131410208945,-0.07889349042579,-0.0433796254983988,-0.0303712718467695,-0.0168863517416059,-0.005920162195912
2021-01-22,2659397.79,3.329,4,33008.02,0.8246575342465754,111.5516,3841.5,0.08,2.304289331654798,1.2736012553208902,-0.1813679764107187,-0.1786808623784016,0.1072510931901077,-0.0679785265209668,0.0419806771095252,0.0290817534229431,0.0374010571595624,0.0076416687963248
2021-01-23,1650919.66,3.517,4,32107.29,0.8239726027397261,111.5516,3841.5,0.08,2.317431798583648,1.2781469097501748,-0.164618691374616,-0.12888610263872,0.1751134977785999,-0.0455768562321303,0.0837133622013281,0.0008947255414353,-0.0348234174592329,-0.0075445777204568
2021-01-24,2398208.56,3.644,4,32283.66,0.8232876712328767,111.5516,3841.5,0.08,2.3545797708207776,1.2995679888583342,-0.2750927025404022,0.0293421778709802,0.1522410356109347,-0.0008877578037475,-0.0289402299029474,-0.0226316291097518,0.0255386812331332,0.0083588741405716
2021-01-25,2945273.26,3.7,4,32275.27,0.8226027397260274,111.8676,3855.4,0.08,2.352508526641107,1.2903139126869547,-0.0312815971639138,0.0545995039906498,-0.1012002310123385,0.0526497538816838,-0.0479547880674828,0.0310344564079991,-0.0076768430872964,-0.0070767587027615
2021-01-26,3930652.38,4.031,4,32516.52,0.821917808219178,111.6572,3849.6,0.08,2.3807743674695234,1.3126887600667312,0.0838540291048302,0.1922586580605137,-0.1030503003720586,0.0818331997536448,0.0687426539024199,0.0026960965727038,-0.0045573915034918,0.0085744469410032
2021-01-27,1246937.17,3.693,4,30423.05,0.8212328767123288,112.0782,3750.8,0.08,2.3974725025162904,1.302196735952491,0.1159105195933648,0.1353917961154965,0.0166934995972332,-0.0629162175321811,-0.018542891129456,-0.0437556039971695,0.0061934954626604,-0.0105483504354624
2021-01-28,1322797.3,3.847,4,33443.87,0.8205479452054795,112.0059,3787.4,0.07,2.4235753436056124,1.3031207616035123,0.1472344247634002,0.0685295252879778,0.0602164611559992,-0.0141849875092251,-0.0540967817118417,0.0460902355632108,-0.0058269093821796,0.0099594543039744
